Animal;Madurez;inf_caligus;Sexo;Nivel_cataratas
1;0;6;Macho;Medio
2;0;5;Macho;Alto
3;1;5;Macho;Medio
4;1;3;Hembra;Medio
5;1;6;Hembra;Medio
6;0;3;Hembra;Bajo
7;1;3;Hembra;Alto
8;1;4;Macho;Medio
9;1;4;Hembra;Bajo
10;1;7;Hembra;Bajo
11;0;6;Hembra;Bajo
12;1;6;Hembra;Bajo
13;1;4;Hembra;Medio
14;0;5;Macho;Bajo
15;1;4;Macho;Alto
16;0;5;Macho;Bajo
17;1;4;Macho;Alto
18;0;1;Hembra;Medio
19;1;5;Macho;Medio
20;0;4;Macho;Medio
21;1;3;Macho;Bajo
22;1;6;Macho;Alto
23;1;4;Hembra;Alto
24;0;6;Hembra;Alto
25;1;6;Macho;Bajo
26;1;5;Hembra;Bajo
27;0;8;Hembra;Alto
28;1;5;Macho;Alto
29;0;3;Macho;Medio
30;0;5;Hembra;Medio
31;1;5;Hembra;Medio
32;1;4;Hembra;Bajo
33;1;5;Macho;Medio
34;0;6;Hembra;Alto
35;1;3;Macho;Bajo
36;1;4;Hembra;Alto
37;1;4;Macho;Medio
38;1;6;Macho;Alto
39;0;4;Macho;Bajo
40;1;5;Hembra;Alto
41;1;4;Macho;Alto
42;1;4;Hembra;Bajo
43;1;4;Hembra;Bajo
44;0;5;Macho;Alto
45;0;5;Hembra;Alto
46;1;4;Macho;Alto
47;1;7;Macho;Alto
48;0;5;Macho;Alto
49;0;4;Hembra;Alto
50;1;4;Hembra;Alto
51;0;5;Macho;Medio
52;1;3;Hembra;Medio
53;1;5;Hembra;Medio
54;0;6;Hembra;Alto
55;1;7;Hembra;Alto
56;1;7;Macho;Alto
57;1;5;Macho;Medio
58;0;5;Macho;Medio
59;1;4;Macho;Medio
60;1;5;Macho;Medio
61;1;3;Hembra;Medio
62;0;6;Hembra;Alto
63;1;5;Hembra;Medio
64;0;5;Macho;Medio
65;0;4;Hembra;Medio
66;0;6;Hembra;Medio
67;0;5;Macho;Alto
68;1;4;Hembra;Alto
69;0;7;Hembra;Bajo
70;1;3;Macho;Alto
71;0;5;Hembra;Medio
72;0;3;Hembra;Alto
73;1;5;Macho;Alto
74;0;5;Hembra;Bajo
75;0;5;Hembra;Alto
76;0;3;Macho;Bajo
77;1;3;Macho;Alto
78;1;5;Macho;Medio
79;1;4;Macho;Medio
80;0;2;Hembra;Medio
81;0;5;Macho;Bajo
82;1;4;Hembra;Alto
83;1;5;Hembra;Bajo
84;0;5;Hembra;Alto
85;1;4;Hembra;Alto
86;1;6;Hembra;Alto
87;1;4;Macho;Bajo
88;1;6;Hembra;Alto
89;0;6;Macho;Bajo
90;0;6;Hembra;Medio
91;0;6;Hembra;Alto
92;0;7;Macho;Bajo
93;1;4;Hembra;Bajo
94;1;3;Macho;Medio
95;1;4;Macho;Alto
96;1;4;Macho;Bajo
97;0;5;Hembra;Medio
98;0;5;Macho;Alto
99;1;4;Hembra;Medio
100;1;4;Hembra;Bajo
