Id	days	survival	SL	Weight
Carp_Off1	9	0	76	17.4	
Carp_Off10	19	0	72	13.2	
Carp_Off100	15	0	89	21.3	
Carp_Off1000	30	1	81	17.8	
Carp_Off1001	21	0	74	14.4	
Carp_Off1002	30	1	58	7.7	
Carp_Off1003	14	0	79	15.3	
Carp_Off1004	11	0	76	16.2	
Carp_Off1005	11	0	75	15.4	
Carp_Off1006	16	0	70	11.8	
Carp_Off1007	30	1	83	18.5	
Carp_Off1008	30	1	72	13.1	
Carp_Off1009	15	0	84	21.4	
Carp_Off1011	30	1	73	15.6	
Carp_Off1012	30	1	77	16	
Carp_Off1013	13	0	77	14.8	
Carp_Off1015	7	0	73	14.3	
Carp_Off1016	23	0	75	13.3	
Carp_Off1017	13	0	83	17.4	
Carp_Off1018	11	0	79	18.2	
Carp_Off102	30	1	66	11.9	
Carp_Off1020	10	0	81	17.1	
Carp_Off1022	30	1	76	15	
Carp_Off1023	30	1	76	15.4	
Carp_Off1024	30	1	70	11.3	
Carp_Off1025	14	0	75	15.7	
Carp_Off1026	14	0	74	14	
Carp_Off1028	8	0	75	15.1	
Carp_Off1029	8	0	76	16.1	
Carp_Off103	30	1	71	14.5	
Carp_Off1031	14	0	76	15.1	
Carp_Off1032	13	0	77	14.7	
Carp_Off1033	30	1	74	15	
Carp_Off1034	30	1	77	16.9	
Carp_Off1036	30	1	74	14.5	
Carp_Off1037	13	0	83	17.8	
Carp_Off1038	9	0	72	14.4	
Carp_Off1039	30	1	89	26	
Carp_Off104	30	1	67	12.5	
Carp_Off1040	11	0	74	14.8	
Carp_Off1041	10	0	80	17.2	
Carp_Off1042	12	0	67	10.3	
Carp_Off1043	30	1	83	20	
Carp_Off1044	10	0	77	16.3	
Carp_Off1045	12	0	75	16.1	
Carp_Off1046	9	0	84	20	
Carp_Off1047	12	0	78	17.3	
Carp_Off1048	30	1	74	15.8	
Carp_Off1049	30	1	77	15.8	
Carp_Off105	30	1	77	16.9	
Carp_Off1050	12	0	78	17.8	
Carp_Off1051	7	0	77	13.3	
Carp_Off1053	11	0	71	11.5	
Carp_Off1054	30	1	74	13.8	
Carp_Off1055	4	0	70	12.8	
Carp_Off1056	11	0	82	18.4	
Carp_Off1057	14	0	68	13	
Carp_Off1058	14	0	72	12.9	
Carp_Off1059	30	1	80	17.1	
Carp_Off106	30	1	73	15.1	
Carp_Off1060	14	0	67	9.7	
Carp_Off1061	30	1	75	15.6	
Carp_Off1062	9	0	68	11.9	
